path	kind	loc	symbols	included_by_project_yml	included_by_xcode_build	app_reachable_or_build_included	referenced_by_swift	verdict	evidence	last_commit	last_commit_date	last_author
ui/Sources/Views/Reporting/ReportView.swift	swift	201	ReportView;PoCCard	yes	yes	yes	ui/Sources/Views/MainWindowView.swift;ui/Sources/Views/Reporting/BountyReportView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Views/MainWindowView.swift,ui/Sources/Views/Reporting/BountyReportView.swift	5f46ae0	2026-05-21	Jbase16
ui/Sources/Views/Scan/ActionRequestView.swift	swift	99	ActionRequestView;ActionCard	yes	yes	yes	ui/Sources/Views/Scan/ScanControlView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Views/Scan/ScanControlView.swift	84b664f	2025-12-17	Jason Phillips
ui/Sources/Views/Scan/ScanControlView.swift	swift	984	ToolSelectionMode;ScanControlView;AdvancedScanConfigView;ScopeRuleBadge;ToolSelectionView;ScanProgressHeader;FindingsListView;FindingRow;SeverityBadge;DupeBadge;LogConsoleView;PlainTextDocument	yes	yes	yes	ui/Sources/Views/MainWindowView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Views/MainWindowView.swift	ca67b7a	2026-02-23	Jbase16
ui/Sources/Views/Settings/BackendSettingsView.swift	swift	81	BackendSettingsView	yes	yes	yes	ui/Sources/Views/MainWindowView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Views/MainWindowView.swift	48c3076	2026-01-09	Jbase16
ui/Sources/Views/ToolsBankView.swift	swift	182	ToolsBankView;StatusBadge	yes	yes	yes	ui/Sources/Views/MainWindowView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Views/MainWindowView.swift	e583193	2026-02-14	Jbase16
ui/Sources/Views/Verify/VerifyConsoleView.swift	swift	590	VerifyConsoleView;VerifyConsoleViewModel;ExchangeRow;PromoteResultSheet	yes	yes	yes	ui/Sources/Views/MainWindowView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Views/MainWindowView.swift	fea0289	2026-06-06	Jbase16
ui/Tests/Package.swift	swift	29		no	no	no		TEST_HARNESS_REVIEW	test_referenced; ui_test_harness; references_missing_ui_package	08a3276	2025-12-17	Jason Phillips
ui/Tests/Sources/TestRunner/CriticalPathTests.swift	swift	222	HelixAppStateTests;SentinelAPIClientTests;EventStreamClientTests;ErrorHandlingTests	no	no	no		TEST_HARNESS_REVIEW	test_referenced; ui_test_harness	19d5fda	2026-01-20	Jbase16
ui/Tests/Sources/TestRunner/main.swift	swift	103	TestRunner	no	no	no	ui/Tests/Package.swift	TEST_HARNESS_REVIEW	test_referenced; referenced_by=ui/Tests/Package.swift; ui_test_harness	19d5fda	2026-01-20	Jbase16
ui/Tests/TESTING_STRATEGY.md	md	223		no	no	no		TEST_HARNESS_REVIEW	ui_test_harness	19d5fda	2026-01-20	Jbase16
ui/project.yml	yml	40		yes	no	no		UI_CONFIG_LIVE	included_by_project_yml	60d195d	2026-01-04	Jbase16
